date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-05;Bordeaux;app;8;8;22;216.20;0.00;216.20
2025-03-05;Bordeaux;web;4;4;10;132.60;0.00;132.60
2025-03-05;Lille;app;5;4;13;209.60;-38.81;170.79
2025-03-05;Lille;web;3;3;9;124.70;-20.49;104.21
2025-03-05;Lyon;app;4;4;12;89.00;-27.24;61.76
2025-03-05;Lyon;web;6;6;14;92.70;-26.41;66.29
2025-03-05;Marseille;app;7;6;28;264.50;-21.61;242.89
2025-03-05;Marseille;web;3;3;10;57.70;-43.51;14.19
2025-03-05;Nantes;app;3;3;14;144.50;-21.69;122.81
2025-03-05;Nantes;web;7;6;20;158.30;-15.43;142.87
2025-03-05;Nice;app;5;5;17;189.20;0.00;189.20
2025-03-05;Nice;web;2;2;4;82.70;0.00;82.70
2025-03-05;Paris;app;3;3;8;129.60;-11.40;118.20
2025-03-05;Paris;web;7;7;20;322.80;-19.19;303.61
2025-03-05;Toulouse;app;7;7;20;259.80;-48.09;211.71
2025-03-05;Toulouse;web;5;5;15;278.80;-6.76;272.04
