date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-01;Bordeaux;app;4;4;8;136.79999999999998;-25.549999999999997;111.24999999999999
2025-03-01;Bordeaux;web;6;6;13;195.20000000000002;-39.730000000000004;155.47000000000003
2025-03-01;Lille;app;4;4;13;224.2;-24.47;199.73
2025-03-01;Lille;web;3;3;12;117.5;-14.23;103.27
2025-03-01;Lyon;app;7;7;16;159.5;-10.86;148.64
2025-03-01;Lyon;web;3;3;10;72.6;-2.81;69.78999999999999
2025-03-01;Marseille;app;9;9;25;277.9;-47.22;230.67999999999998
2025-03-01;Marseille;web;8;7;34;349.0;-6.05;342.95
2025-03-01;Nantes;app;3;3;7;49.9;-13.85;36.05
2025-03-01;Nantes;web;1;1;1;9.9;0.0;9.9
2025-03-01;Nice;app;6;6;18;251.9;-24.700000000000003;227.2
2025-03-01;Nice;web;3;3;10;65.0;-23.619999999999997;41.38
2025-03-01;Paris;app;3;3;7;164.3;-21.799999999999997;142.5
2025-03-01;Paris;web;7;7;23;319.09999999999997;-6.76;312.34
2025-03-01;Toulouse;app;4;4;13;120.69999999999999;-6.53;114.16999999999999
2025-03-01;Toulouse;web;6;6;14;87.5;-38.550000000000004;48.949999999999996
2025-03-02;Bordeaux;app;4;4;12;174.1;-9.33;164.76999999999998
2025-03-02;Bordeaux;web;9;9;31;330.4;-30.6;299.79999999999995
2025-03-02;Lille;app;5;5;11;141.89999999999998;-26.39;115.50999999999998
2025-03-02;Lille;web;4;4;13;126.6;-12.46;114.13999999999999
2025-03-02;Lyon;app;5;5;13;129.6;-12.38;117.22
2025-03-02;Lyon;web;6;6;17;202.4;-29.84;172.56
2025-03-02;Marseille;app;3;3;9;115.0;0.0;115.0
2025-03-02;Marseille;web;2;2;5;51.9;-18.71;33.19
2025-03-02;Nantes;app;8;8;21;184.5;0.0;184.5
2025-03-02;Nantes;web;6;6;16;232.9;-5.86;227.04
2025-03-02;Nice;app;7;7;18;164.79999999999998;-50.269999999999996;114.52999999999999
2025-03-02;Nice;web;5;5;13;148.1;-18.28;129.82
2025-03-02;Paris;app;4;4;10;83.19999999999999;0.0;83.19999999999999
2025-03-02;Paris;web;6;6;18;218.6;-73.55000000000001;145.04999999999998
2025-03-02;Toulouse;app;5;5;13;208.9;-16.48;192.42000000000002
2025-03-02;Toulouse;web;5;5;15;218.3;-2.95;215.35000000000002
2025-03-03;Bordeaux;app;2;2;6;52.5;-2.1;50.4
2025-03-03;Bordeaux;web;4;3;15;167.2;-28.78;138.42
2025-03-03;Lille;app;4;4;15;254.1;-14.42;239.68
2025-03-03;Lille;web;6;6;18;132.1;0.0;132.1
2025-03-03;Lyon;app;6;5;17;246.4;-18.61;227.79000000000002
2025-03-03;Lyon;web;5;5;16;131.5;-18.1;113.4
2025-03-03;Marseille;app;4;3;9;109.69999999999999;-11.52;98.17999999999999
2025-03-03;Marseille;web;4;4;15;137.2;-34.06;103.13999999999999
2025-03-03;Nantes;app;2;2;5;77.3;-12.08;65.22
