order_id;customer_id;city;channel;order_date;items_sold;gross_revenue_eur
O202503010001;C0676;Marseille;web;2025-03-01;5;62.5
O202503010003;C0642;Toulouse;web;2025-03-01;1;5.0
O202503010005;C0571;Toulouse;web;2025-03-01;1;2.5
O202503010007;C0464;Nantes;app;2025-03-01;1;24.9
O202503010008;C0317;Marseille;app;2025-03-01;2;30.0
O202503010009;C0561;Lyon;app;2025-03-01;2;16.0
O202503010010;C0364;Lille;app;2025-03-01;5;124.5
O202503010011;C0368;Paris;web;2025-03-01;3;12.0
O202503010012;C0475;Paris;web;2025-03-01;5;124.5
O202503010015;C0228;Paris;web;2025-03-01;3;59.699999999999996
O202503010016;C0663;Bordeaux;app;2025-03-01;3;74.69999999999999
O202503010017;C0777;Nice;app;2025-03-01;3;45.0
O202503010018;C0383;Marseille;app;2025-03-01;1;15.0
O202503010019;C0331;Marseille;app;2025-03-01;2;5.0
O202503010020;C0153;Toulouse;web;2025-03-01;5;40.0
O202503010021;C0172;Bordeaux;app;2025-03-01;2;39.8
O202503010022;C0244;Bordeaux;web;2025-03-01;3;15.0
O202503010023;C0017;Paris;web;2025-03-01;5;40.0
O202503010025;C0739;Marseille;app;2025-03-01;4;16.0
O202503010028;C0172;Bordeaux;web;2025-03-01;2;16.0
O202503010030;C0127;Nantes;app;2025-03-01;1;12.5
O202503010031;C0555;Lyon;app;2025-03-01;1;12.5
O202503010032;C0329;Toulouse;app;2025-03-01;3;22.5
O202503010033;C0192;Paris;web;2025-03-01;4;50.0
O202503010034;C0657;Lille;app;2025-03-01;1;8.0
O202503010035;C0014;Paris;web;2025-03-01;2;8.0
O202503010036;C0135;Paris;app;2025-03-01;1;19.9
O202503010037;C0472;Lyon;app;2025-03-01;3;22.5
O202503010038;C0560;Lille;app;2025-03-01;3;59.699999999999996
O202503010039;C0791;Paris;app;2025-03-01;1;19.9
O202503010041;C0287;Lyon;app;2025-03-01;3;24.0
O202503010042;C0308;Nice;app;2025-03-01;2;8.0
O202503010044;C0665;Paris;app;2025-03-01;5;124.5
O202503010045;C0522;Nice;app;2025-03-01;2;25.0
O202503010046;C0584;Toulouse;web;2025-03-01;5;12.5
