date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-08;Bordeaux;app;5;5;13;248.60;0.00;248.60
2025-03-08;Bordeaux;web;8;8;20;215.00;-38.19;176.81
2025-03-08;Lille;app;1;1;3;45.00;0.00;45.00
2025-03-08;Lille;web;6;6;19;235.40;-44.20;191.20
2025-03-08;Lyon;app;4;3;12;105.90;-8.51;97.39
2025-03-08;Lyon;web;4;4;14;114.70;-3.56;111.14
2025-03-08;Marseille;app;4;4;17;245.10;-33.66;211.44
2025-03-08;Marseille;web;6;6;15;178.00;-18.55;159.45
2025-03-08;Nantes;app;4;4;14;218.70;-10.81;207.89
2025-03-08;Nantes;web;6;5;17;169.60;0.00;169.60
2025-03-08;Nice;app;4;4;12;55.00;-8.65;46.35
2025-03-08;Nice;web;6;6;14;179.80;-31.34;148.46
2025-03-08;Paris;app;4;4;10;58.90;-42.41;16.49
2025-03-08;Paris;web;7;7;22;124.50;-42.39;82.11
2025-03-08;Toulouse;app;6;6;12;192.10;-35.14;156.96
2025-03-08;Toulouse;web;3;3;7;54.90;-9.85;45.05
