date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-01;Bordeaux;app;4;4;8;136.80;-25.55;111.25
2025-03-01;Bordeaux;web;6;6;13;195.20;-39.73;155.47
2025-03-01;Lille;app;4;4;13;224.20;-24.47;199.73
2025-03-01;Lille;web;3;3;12;117.50;-14.23;103.27
2025-03-01;Lyon;app;7;7;16;159.50;-10.86;148.64
2025-03-01;Lyon;web;3;3;10;72.60;-2.81;69.79
2025-03-01;Marseille;app;9;9;25;277.90;-47.22;230.68
2025-03-01;Marseille;web;8;7;34;349.00;-6.05;342.95
2025-03-01;Nantes;app;3;3;7;49.90;-13.85;36.05
2025-03-01;Nantes;web;1;1;1;9.90;0.00;9.90
2025-03-01;Nice;app;6;6;18;251.90;-24.70;227.20
2025-03-01;Nice;web;3;3;10;65.00;-23.62;41.38
2025-03-01;Paris;app;3;3;7;164.30;-21.80;142.50
2025-03-01;Paris;web;7;7;23;319.10;-6.76;312.34
2025-03-01;Toulouse;app;4;4;13;120.70;-6.53;114.17
2025-03-01;Toulouse;web;6;6;14;87.50;-38.55;48.95
2025-03-02;Bordeaux;app;4;4;12;174.10;-9.33;164.77
2025-03-02;Bordeaux;web;9;9;31;330.40;-30.60;299.80
2025-03-02;Lille;app;5;5;11;141.90;-26.39;115.51
2025-03-02;Lille;web;4;4;13;126.60;-12.46;114.14
2025-03-02;Lyon;app;5;5;13;129.60;-12.38;117.22
2025-03-02;Lyon;web;6;6;17;202.40;-29.84;172.56
2025-03-02;Marseille;app;3;3;9;115.00;0.00;115.00
2025-03-02;Marseille;web;2;2;5;51.90;-18.71;33.19
2025-03-02;Nantes;app;8;8;21;184.50;0.00;184.50
2025-03-02;Nantes;web;6;6;16;232.90;-5.86;227.04
2025-03-02;Nice;app;7;7;18;164.80;-50.27;114.53
2025-03-02;Nice;web;5;5;13;148.10;-18.28;129.82
2025-03-02;Paris;app;4;4;10;83.20;0.00;83.20
2025-03-02;Paris;web;6;6;18;218.60;-73.55;145.05
2025-03-02;Toulouse;app;5;5;13;208.90;-16.48;192.42
2025-03-02;Toulouse;web;5;5;15;218.30;-2.95;215.35
2025-03-03;Bordeaux;app;2;2;6;52.50;-2.10;50.40
2025-03-03;Bordeaux;web;4;3;15;167.20;-28.78;138.42
2025-03-03;Lille;app;4;4;15;254.10;-14.42;239.68
2025-03-03;Lille;web;6;6;18;132.10;0.00;132.10
